id,IDUnit,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
391,390,,136941,hr,hre,hre,landsknecht-3,Landsknecht,unit,"Brave unarmored infantry with an enormous two-handed sword, effective in mixed armies.
+ Melee attack deals area damage
- Low health
- Countered by Archers",landsknecht,Landsknecht,unit_landsknecht_3_hre,"Brave unarmored infantry with an enormous two-handed sword, effective in mixed armies.
+ Melee attack deals area damage
- Low health
- Countered by Archers",3,85.0,60,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
392,391,,168401,hr,hre,hre,landsknecht-4,Elite Landsknecht,unit,"Brave unarmored infantry with an enormous two-handed sword, effective in mixed armies.
+ Melee attack deals area damage
- Low health
- Countered by Archers",landsknecht,Elite Landsknecht,unit_landsknecht_4_hre,"Brave unarmored infantry with an enormous two-handed sword, effective in mixed armies.
+ Melee attack deals area damage
- Low health
- Countered by Archers",4,100.0,60,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
393,392,,168040,hr,hre,hre,man-at-arms-2,Early Man-at-Arms,unit,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",man-at-arms,Early Man-at-Arms,unit_manatarms_2_hre,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",2,120.0,100,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
394,393,,134727,hr,hre,hre,man-at-arms-3,Man-at-Arms,unit,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",man-at-arms,Man-at-Arms,unit_manatarms_3_hre,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",3,155.0,100,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
395,394,,134728,hr,hre,hre,man-at-arms-4,Elite Man-at-Arms,unit,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",man-at-arms,Elite Man-at-Arms,unit_manatarms_4_hre,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",4,180.0,100,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
396,395,,134729,hr,hre,hre,mangonel-3,Mangonel,unit,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",mangonel,Mangonel,unit_mangonel_3_hre,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",3,130.0,0,200,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
397,396,,136918,hr,hre,hre,prelate-1,Prelate,unit,"Support unit with no combat capability. Automatically inspires Villagers to greatly improve their gather rate. Can pick up Relics, convert enemy units, and capture Sacred Sites starting in the Castle Age (III).
+ Heals friendly units
- Low health",prelate,Prelate,unit_monk_1_hre,"Support unit with no combat capability. Automatically inspires Villagers to greatly improve their gather rate. Can pick up Relics, convert enemy units, and capture Sacred Sites starting in the Castle Age (III).
+ Heals friendly units
- Low health",1,90.0,0,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
398,397,,134737,hr,hre,hre,scout-1,Scout,unit,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",scout,Scout,unit_scout_1_hre,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",1,110.0,70,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
399,398,,134700,hr,hre,hre,siege-tower-2,Siege Tower,unit,"Tall infantry transport with no combat capability. Allows garrisoned infantry to be unloaded directly onto Stone Walls.
+ High ranged armor
- Cannot attack
- Slow movement speed",siege-tower,Siege Tower,unit_siege_tower_3_hre,"Tall infantry transport with no combat capability. Allows garrisoned infantry to be unloaded directly onto Stone Walls.
+ High ranged armor
- Cannot attack
- Slow movement speed",2,480.0,0,0,125,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
400,399,,134743,hr,hre,hre,spearman-1,Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Spearman,unit_spearman_1_hre,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",1,80.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
401,400,,134745,hr,hre,hre,spearman-2,Hardened Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Hardened Spearman,unit_spearman_2_hre,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",2,90.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
402,401,,134747,hr,hre,hre,spearman-3,Veteran Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Veteran Spearman,unit_spearman_3_hre,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",3,110.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
403,402,,134749,hr,hre,hre,spearman-4,Elite Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Elite Spearman,unit_spearman_4_hre,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",4,130.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
404,403,,134735,hr,hre,hre,springald-3,Springald,unit,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",springald,Springald,unit_springald_3_hre,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",3,75.0,0,100,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
405,404,,196684,hr,hre,hre,trade-ship-2,Trade Ship,unit,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",trade-ship,Trade Ship,unit_naval_trade_ship_3_hre,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",2,225.0,0,100,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
406,405,,134750,hr,hre,hre,trader-1,Trader,unit,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",trader,Trader,unit_trade_cart_hre,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",1,90.0,0,60,60,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
407,406,,193128,hr,hre,hre,transport-ship-2,Transport Ship,unit,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",transport-ship,Transport Ship,unit_naval_transport_ship_2_hre,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",2,400.0,0,0,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
408,407,,134753,hr,hre,hre,villager-1,Villager,unit,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",villager,Villager,unit_villager_1_hre,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",1,50.0,50,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
409,408,,132231,je,jeannedarc,french_ha_01,arbaletrier-3,Arbalétrier,unit,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen",arbaletrier,Arbalétrier,unit_crossbowman_3_fre,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen",3,80.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
410,409,,132273,je,jeannedarc,french_ha_01,arbaletrier-4,Elite Arbalétrier,unit,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen",arbaletrier,Elite Arbalétrier,unit_crossbowman_4_fre,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen",4,95.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
411,410,,132269,je,jeannedarc,french_ha_01,archer-2,Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Archer,unit_archer_2_fre,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",2,70.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
412,411,,132270,je,jeannedarc,french_ha_01,archer-3,Veteran Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Veteran Archer,unit_archer_3_fre,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",3,80.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
413,412,,132271,je,jeannedarc,french_ha_01,archer-4,Elite Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Elite Archer,unit_archer_4_fre,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",4,95.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
414,413,,2145246,je,jeannedarc,french_ha_01,battering-ram-2,Battering Ram,unit,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",battering-ram,Battering Ram,unit_workshop_ram_3_fre_ha_01,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",2,370.0,0,0,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
415,414,,165175,je,jeannedarc,french_ha_01,cannon-4,Cannon,unit,"Most powerful siege cannon. Excellent against buildings or any stubborn targets.
+ Bonus damage to buildings",cannon,Cannon,unit_cannon_4_fre,"Most powerful siege cannon. Excellent against buildings or any stubborn targets.
+ Bonus damage to buildings",4,190.0,0,600,300,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
416,415,,193120,je,jeannedarc,french_ha_01,carrack-4,Carrack,unit,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",carrack,Carrack,unit_naval_combat_warship_4_fre,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",4,700.0,200,200,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
417,416,,132307,je,jeannedarc,french_ha_01,counterweight-trebuchet-3,Counterweight Trebuchet,unit,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",counterweight-trebuchet,Counterweight Trebuchet,unit_trebuchet_4_cw_fre,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",3,140.0,0,150,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
418,417,,193122,je,jeannedarc,french_ha_01,demolition-ship-3,Demolition Ship,unit,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",demolition-ship,Demolition Ship,unit_naval_fireship_3_fre,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",3,145.0,0,80,80,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
419,418,,193121,je,jeannedarc,french_ha_01,fishing-boat-2,Fishing Boat,unit,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",fishing-boat,Fishing Boat,unit_naval_fishing_boat_2_fre,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",2,100.0,0,0,75,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
420,419,,193931,je,jeannedarc,french_ha_01,galleass-3,Galleass,unit,"Large oared vessel with a powerful forward mounted bombard.
+ Long Range
+ Anti-structure specialist",galleass,Galleass,unit_naval_galleass_4_fre,"Large oared vessel with a powerful forward mounted bombard.
+ Long Range
+ Anti-structure specialist",3,700.0,0,300,360,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
421,420,,2101341,je,jeannedarc,french_ha_01,galley-2,Galley,unit,"Oared war vessel armed with a crew of archers.
+ Increased maneuverability
+ Benefits from ranged damage Blacksmith technology",galley,Galley,unit_naval_war_galley_3_fre,"Oared war vessel armed with a crew of archers.
+ Increased maneuverability
+ Benefits from ranged damage Blacksmith technology",2,300.0,80,0,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
422,421,,132274,je,jeannedarc,french_ha_01,handcannoneer-4,Handcannoneer,unit,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",handcannoneer,Handcannoneer,unit_handcannon_4_fre,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",4,130.0,120,120,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
423,422,,132276,je,jeannedarc,french_ha_01,horseman-2,Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Horseman,unit_horseman_2_fre,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",2,125.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
424,423,,132277,je,jeannedarc,french_ha_01,horseman-3,Veteran Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Veteran Horseman,unit_horseman_3_fre,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",3,155.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
425,424,,132278,je,jeannedarc,french_ha_01,horseman-4,Elite Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Elite Horseman,unit_horseman_4_fre,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",4,180.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
426,425,,2136361,je,jeannedarc,french_ha_01,jeanne-darc-blast-cannon-4,Jeanne d'Arc - Blast Cannon,unit,"Elite siege cavalry leader with high damage. Exceptionally effective vs buildings. If Jeanne is defeated, she will reappear at a Town Center. 
+ Heavy armor
+ Good damage vs buildings
- Countered only by superior numbers",jeanne-darc-blast-cannon,Jeanne d'Arc - Blast Cannon,unit_jeanne_d_arc_4_melee_monarch_fre_ha_01,"Elite siege cavalry leader with high damage. Exceptionally effective vs buildings. If Jeanne is defeated, she will reappear at a Town Center. 
+ Heavy armor
+ Good damage vs buildings
- Countered only by superior numbers",4,480.0,0,1000,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
427,426,,2136265,je,jeannedarc,french_ha_01,jeanne-darc-hunter-2,Jeanne d'Arc - Hunter,unit,"Strong ranged infantry with good damage vs unarmored targets, and bonus damage vs spearmen. If Jeanne is defeated, she can be brought back at a Town Center.
+ High rate of fire
- Countered by Horsemen",jeanne-darc-hunter,Jeanne d'Arc - Hunter,unit_jeanne_d_arc_2_archer_fre_ha_01,"Strong ranged infantry with good damage vs unarmored targets, and bonus damage vs spearmen. If Jeanne is defeated, she can be brought back at a Town Center.
+ High rate of fire
- Countered by Horsemen",2,225.0,0,250,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
428,427,,2136358,je,jeannedarc,french_ha_01,jeanne-darc-knight-3,Jeanne d'Arc - Knight,unit,"Powerful heavy cavalry leader with high damage and health. If Jeanne is defeated, she can be brought back at a Town Center.
+ Heavy armor
+ Fast movement
- Countered by Spearmen",jeanne-darc-knight,Jeanne d'Arc - Knight,unit_jeanne_d_arc_3_melee_knight_fre_ha_01,"Powerful heavy cavalry leader with high damage and health. If Jeanne is defeated, she can be brought back at a Town Center.
+ Heavy armor
+ Fast movement
- Countered by Spearmen",3,360.0,0,500,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
429,428,,2136360,je,jeannedarc,french_ha_01,jeanne-darc-markswoman-4,Jeanne d'Arc - Markswoman,unit,"Elite heavy siege cavalry leader with high damage. Exceptionally effective vs buildings. If Jeanne is defeated, she will reappear at a Town Center.
+ Heavy armor 
+ Long range 
+ Good damage vs buildings
- Countered only by superior buildings",jeanne-darc-markswoman,Jeanne d'Arc - Markswoman,unit_jeanne_d_arc_4_ranged_monarch_fre_ha_01,"Elite heavy siege cavalry leader with high damage. Exceptionally effective vs buildings. If Jeanne is defeated, she will reappear at a Town Center.
+ Heavy armor 
+ Long range 
+ Good damage vs buildings
- Countered only by superior buildings",4,400.0,0,1000,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
430,429,,2136359,je,jeannedarc,french_ha_01,jeanne-darc-mounted-archer-3,Jeanne d'Arc - Mounted Archer,unit,"A powerful cavalry archer with exceptional range and damage. If Jeanne is defeated, she can be brought back at a Town Center.
+ Long range
+ Good damage
- Countered by Horsemen",jeanne-darc-mounted-archer,Jeanne d'Arc - Mounted Archer,unit_jeanne_d_arc_3_ranged_knight_fre_ha_01,"A powerful cavalry archer with exceptional range and damage. If Jeanne is defeated, she can be brought back at a Town Center.
+ Long range
+ Good damage
- Countered by Horsemen",3,280.0,0,500,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
431,430,,2127584,je,jeannedarc,french_ha_01,jeanne-darc-peasant-1,Jeanne d'Arc - Peasant,unit,"Jeanne gathers resources and constructs buildings as a Villager. She constructs buildings more quickly, and generates more XP while constructing buildings compared to other tasks. If Jeanne is defeated, she can be brought back at a Town Center. 
 - Weak in combat",jeanne-darc-peasant,Jeanne d'Arc - Peasant,unit_jeanne_d_arc_1_fre_ha_01,"Jeanne gathers resources and constructs buildings as a Villager. She constructs buildings more quickly, and generates more XP while constructing buildings compared to other tasks. If Jeanne is defeated, she can be brought back at a Town Center. 
 - Weak in combat",1,150.0,0,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
432,431,,2136262,je,jeannedarc,french_ha_01,jeanne-darc-woman-at-arms-2,Jeanne d'Arc - Woman-at-Arms,unit,"Strong heavy infantry leader with good armor and health. If Jeanne is defeated, she can be brought back at a Town Center.
+ Heavy armor
- Countered by Knights, Lancers, and Crossbowmen",jeanne-darc-woman-at-arms,Jeanne d'Arc - Woman-at-Arms,unit_jeanne_d_arc_2_womanatarms_fre_ha_01,"Strong heavy infantry leader with good armor and health. If Jeanne is defeated, she can be brought back at a Town Center.
+ Heavy armor
- Countered by Knights, Lancers, and Crossbowmen",2,225.0,0,250,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
433,432,,2143628,je,jeannedarc,french_ha_01,jeannes-champion-3,Jeanne's Champion,unit,"Tough infantry that excels at countering Spearmen.
+ High armor
+ Bonus damage against Spearmen
- Slow move speed
- Countered by Knights, Lancers, and Crossbowmen

Upgrades to Elite when Jeanne reaches level 4.",jeannes-champion,Jeanne's Champion,unit_rally_manatarms_3_fre_ha_01,"Tough infantry that excels at countering Spearmen.
+ High armor
+ Bonus damage against Spearmen
- Slow move speed
- Countered by Knights, Lancers, and Crossbowmen

Upgrades to Elite when Jeanne reaches level 4.",3,175.0,160,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
434,433,,2143629,je,jeannedarc,french_ha_01,jeannes-champion-4,Jeanne's Elite Champion,unit,"Tough infantry that excels at countering Spearmen.
+ High armor
+ Bonus damage against Spearmen
- Slow move speed
- Countered by Knights, Lancers, and Crossbowmen

Upgrades to Elite when Jeanne reaches level 4.",jeannes-champion,Jeanne's Elite Champion,unit_rally_manatarms_4_fre_ha_01,"Tough infantry that excels at countering Spearmen.
+ High armor
+ Bonus damage against Spearmen
- Slow move speed
- Countered by Knights, Lancers, and Crossbowmen

Upgrades to Elite when Jeanne reaches level 4.",4,210.0,160,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
435,434,,2143836,je,jeannedarc,french_ha_01,jeannes-rider-3,Jeanne's Rider,unit,"Fast cavalry effective at raiding, flanking, and countering Crossbowmen.
+ High movement speed
+ Bonus damage against Crossbowmen
- Weak against melee units
- Countered by Spearmen

Upgrades to Elite when Jeanne reaches level 4.",jeannes-rider,Jeanne's Rider,unit_rally_horseman_3_fre_ha_01,"Fast cavalry effective at raiding, flanking, and countering Crossbowmen.
+ High movement speed
+ Bonus damage against Crossbowmen
- Weak against melee units
- Countered by Spearmen

Upgrades to Elite when Jeanne reaches level 4.",3,170.0,180,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
436,435,,2143835,je,jeannedarc,french_ha_01,jeannes-rider-4,Jeanne's Elite Rider,unit,"Fast cavalry effective at raiding, flanking, and countering Crossbowmen.
+ High movement speed
+ Bonus damage against Crossbowmen
- Weak against melee units
- Countered by Spearmen

Upgrades to Elite when Jeanne reaches level 4.",jeannes-rider,Jeanne's Elite Rider,unit_rally_horseman_4_fre_ha_01,"Fast cavalry effective at raiding, flanking, and countering Crossbowmen.
+ High movement speed
+ Bonus damage against Crossbowmen
- Weak against melee units
- Countered by Spearmen

Upgrades to Elite when Jeanne reaches level 4.",4,205.0,180,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
437,436,,132282,je,jeannedarc,french_ha_01,man-at-arms-3,Man-at-Arms,unit,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",man-at-arms,Man-at-Arms,unit_manatarms_3_fre,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",3,155.0,100,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
438,437,,132283,je,jeannedarc,french_ha_01,man-at-arms-4,Elite Man-at-Arms,unit,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",man-at-arms,Elite Man-at-Arms,unit_manatarms_4_fre,"Tough infantry with good damage.
+ High armor
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",4,180.0,100,20,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
439,438,,132284,je,jeannedarc,french_ha_01,mangonel-3,Mangonel,unit,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",mangonel,Mangonel,unit_mangonel_3_fre,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",3,130.0,0,200,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
